address,latitude,longitude,rating,distance,price,name,store_id
7301 Henri-Bourassa Blvd E,45.61749978,-73.60601127,7.4,941,1,Restaurant Prima Luna,not available
7000 Marie-Victorin Rue,45.61749978,-73.60601127,0.0,79,1,Café l'Exil,not available
7000 Maurice du Plessis Blvd,45.61749978,-73.60601127,0.0,240,2,Resto Capucine,not available
11737 4e Ave,45.61749978,-73.60601127,0.0,587,1,Biscuits Heavenly Taste Biscotti,not available
7230 Maurice-Duplessis Blvd,45.61749978,-73.60601127,0.0,696,2,Restaurant Phoenix Oriental,not available
7303 Henri-Bourassa Blvd E,45.61749978,-73.60601127,0.0,964,1,Pizzeria Etc,not available
7000 Maurice-Duplessis Blvd,45.61749978,-73.60601127,0.0,246,0,Resto-bar Capucine - Nord-Est de Montréal,not available
11745 4e Ave,45.61749978,-73.60601127,0.0,635,0,Pâtisserie Safa,not available
11835 Langelier Blvd,45.61749978,-73.60601127,0.0,636,0,Hollywood Diner,not available
6767 Henri-Bourassa Blvd E,45.61749978,-73.60601127,0.0,641,0,Ecafé,not available
6711 Henri Bourassa Blvd Est N,45.61749978,-73.60601127,0.0,661,0,Piano Bar la Belle Epoque,not available
11810 Langelier Blvd,45.61749978,-73.60601127,0.0,687,0,Mon Ami Drive in,not available
7244 Maurice-Duplessis Blvd,45.61749978,-73.60601127,0.0,715,0,Resto Bar Danesi,not available
7272 Maurice-Duplessis Blvd,45.61749978,-73.60601127,0.0,743,0,Hendrix Tapas & Burgers,not available
7310 Maurice-Duplessis Blvd,45.61749978,-73.60601127,0.0,809,0,Cafe liana bar & grill,not available
6365 rue de Dijon,45.61749978,-73.60601127,0.0,861,0,Restaurant Fuzion,not available
6365 Rue de Dijon,45.61749978,-73.60601127,0.0,887,0,Resto Celta,not available
6353 Rue de Dijon,45.61749978,-73.60601127,0.0,906,0,Pizzeria Migusto,not available
7462 Maurice-Duplessis Blvd,45.61749978,-73.60601127,0.0,953,0,O Sushi,not available
6363 Henri-Bourassa Blvd E,45.61749978,-73.60601127,0.0,960,0,La Veranda,not available
1431 Saint-Laurent Blvd,45.51692621,-73.56425732,9.4,741,2,Cadet,not available
1595 Saint-Laurent Blvd,45.51692621,-73.56425732,9.3,675,3,Bouillon Bilk,not available
3927 Saint-Denis Rue,45.51692621,-73.56425732,9.1,876,3,L'Express,not available
19 Prince-Arthur Rue O,45.51692621,-73.56425732,9.0,766,1,Café Nocturne,not available
1272 Sainte-Catherine Rue E,45.51692621,-73.56425732,9.0,718,2,Bar Renard,not available
1106B Saint Laurent Blvd,45.51692621,-73.56425732,9.0,961,3,Bar le Mal Nécessaire,not available
300 Ontario Rue E,45.51692621,-73.56425732,8.9,268,3,La Distillerie,not available
536 Duluth Ave E,45.51692621,-73.56425732,8.7,988,3,Au Pied de Cochon,not available
3609 Saint-Denis Rue,45.51692621,-73.56425732,8.6,426,4,La Fabrique Bistrot,not available
301 Emery Rue,45.51692621,-73.56425732,8.6,294,1,Café Saint-Henri Quartier Latin,not available
1096 Saint-Laurent Blvd,45.51692621,-73.56425732,8.6,963,1,La Capital Tacos,not available
2021 Saint-Denis Rue,45.51692621,-73.56425732,8.6,132,3,Le 4e Mur,not available
8 Sherbrooke Rue E,45.51692621,-73.56425732,8.5,651,1,Cafe Origine,not available
1310 Blvd de Maisonneuve Est,45.51692621,-73.56425732,8.5,682,1,Bistro le Passe Compose,not available
1112 Blvd de Maisonneuve Est,45.51692621,-73.56425732,8.5,488,3,O'Thym,not available
73 Prince Arthur Rue E,45.51692621,-73.56425732,8.5,647,1,Arepera,not available
156 Roy Rue E,45.51692621,-73.56425732,8.4,816,2,Else's,not available
1749 Saint-Denis Rue,45.51692621,-73.56425732,8.4,132,2,Le Saint Bock,not available
1668 Saint-Denis Rue,45.51692621,-73.56425732,8.3,208,2,Pizzeria Dei Compari,not available
3600 Saint-Laurent Blvd,45.51692621,-73.56425732,8.2,742,2,Juliette et Chocolat,not available
51 Sherbrooke Rue O,45.51692621,-73.56425732,8.2,717,1,Café OSMO,not available
245 Sherbrooke Rue O,45.51692621,-73.56425732,8.2,966,1,Benelux,not available
1567 Saint-Denis Rue,45.51692621,-73.56425732,8.2,301,3,Saint-Houblon,not available
3515 Saint-Laurent Blvd,45.51692621,-73.56425732,8.2,677,2,McKibbin's Irish Pub,not available
1579 Saint-Laurent Blvd,45.51692621,-73.56425732,8.1,692,0,Bar Pamplemousse,not available
2049 Saint-Denis Rue,45.51692621,-73.56425732,7.9,149,2,Brasserie Artisanale l'Amère a Boire Inc,not available
1615 Saint-Denis Rue,45.51692621,-73.56425732,7.9,242,2,Juliette et Chocolat,not available
3845 Saint-Denis Rue,45.51692621,-73.56425732,7.9,775,0,Restaurant Au Pres de MA Blonde,not available
